BetweennessCentrality,ClosenessCentrality,ClusteringCoefficient,EdgeCount,Indegree,NeighborhoodConnectivity,Outdegree
0,0,0.177777778,10,10,85.9,0
0,0.339191564,0.136699507,29,0,82.44827586,29
3.847097655,0.391245564,0.075860647,101,15,70.73737374,86
0.23899906,0.326148211,0.196581197,28,14,132.962963,14
8.424283555,0.389993261,0.054284289,173,149,131.1904762,24
0.060956672,0.328508585,0.18655303,33,20,132.0909091,13
0.544727959,0.317036428,0.100408163,52,22,61.5,30
0.992830467,0.427753141,0.0657277,73,15,130.0416667,58
1.234943705,0.381383855,0.056603774,111,37,79.74766355,74
0.754240278,0.368865519,0.093551797,45,22,117,23
1.022902439,0.292593529,0.050478796,86,84,85.40697674,2
0.473432965,0.362682124,0.062429379,60,13,88.23333333,47
0.007346746,0.288401644,0.173202614,18,15,70.72222222,3
0,0.351441578,0.191699605,23,0,75.47826087,23
0,0,0.197368421,20,20,155,0
0.71463521,0.377650897,0.08989899,45,16,135.2222222,29
0.310762833,0.189956511,0.081699346,18,17,116.3888889,1
0.97084587,0.234406642,0.134502924,19,18,116.2631579,1
0.45474861,0.332042456,0.187747036,23,14,140.2173913,9
0,0,0.113636364,12,12,104.1666667,0
0.4437327,0.35947205,0.127840909,33,24,128.1515152,9
0.373824381,0.27645092,0.102631579,20,19,93.6,1
0.716544058,0.322109364,0.160079051,25,20,126.1304348,5
1.012669083,0.390915231,0.105387205,57,28,127.2909091,29
0.51381081,0.326792772,0.092915215,42,35,74.88095238,7
2.297158858,0.39518607,0.089778795,123,53,109.8695652,70
0,0,0.116809117,27,27,123.6666667,0
0.091061772,0.322738045,0.125615764,29,21,137.1034483,8
0,0,0.107843137,18,18,129.5555556,0
0.202733445,0.324138897,0.170967742,32,27,178.0967742,5
0.078748962,0.296604741,0.095301418,50,44,117.5208333,6
0.571962766,0.377158684,0.12996633,60,21,98.32727273,39
0,0,0.199134199,22,22,139.2272727,0
0.036509922,0.313176407,0.158088235,19,13,105.4117647,6
2.240175231,0.392372881,0.058222222,134,78,109.1111111,56
0,0,0.062807882,29,29,117.1034483,0
0.624538342,0.327671621,0.097467209,67,61,195.1791045,6
2.719725664,0.38525545,0.07518295,207,136,144.1340206,71
0.148889781,1,0.135195035,48,46,203.7291667,2
0.002634738,0.202324768,0.137362637,14,13,99.35714286,1
1.350494698,0.388553206,0.06849733,125,46,91.6173913,79
1.712925113,0.444337812,0.088486356,189,49,104.4624277,140
1.932958148,0.474579746,0.043861218,217,18,112.2311321,199
0,0,0.142857143,7,7,87,0
0.143880057,0.253504161,0.154545455,12,11,112.2727273,1
0,0,0.047794118,17,17,114.4117647,0
